group	lib.size	norm.factors	eff.lib.size
8_6	999949	1.7960682632506	1795976.66376917
8_7	1000042	1.53486213818424	1534926.60239404
9_1_1	1000016	0.804940968485857	804953.847541352
9_6	1000029	0.817483912219395	817507.619252849
MdEm1	999871	0.914407566816554	914289.608240435
MdEm2	999772	0.853484933257676	853290.338692893
MdEm3	999772	0.878427334682641	878227.053250333
Em1glen	999927	1.19755215537501	1197464.73406767
Em2glen	999881	1.24178937417353	1241641.601238
Em3glen	999808	1.07077528605385	1070569.69719892
sp_5	999912	0.779901324792927	779832.693476346
sp_6_1	999970	0.757566131922375	757543.404938417
sp_6_2	999900	0.854716535635214	854631.063981651
