group	lib.size	norm.factors	eff.lib.size
8_6	999983	1.97951499684839	1979481.34509345
8_7	1000015	1.64200797043312	1642032.60055268
9_1_1	999963	0.872875433703296	872843.137312249
9_6	999979	0.937149657852072	937129.977709257
MdEm1	998999	0.838076873300699	837237.958350525
MdEm2	998937	0.785238981535488	784404.272498116
MdEm3	998838	0.80178046460634	800848.795706467
Em1glen	999287	1.10639285977955	1105604.00167053
Em2glen	999458	1.13080321830344	1130190.32295912
Em3glen	999149	1.02542945945606	1024556.81898607
sp_5	999686	0.81704197080453	816785.419625698
sp_6_1	999807	0.821771010796611	821612.408991527
sp_6_2	999681	0.827496507363153	827232.535977304
