sp_5	sp_6_1	sp_6_2	Em1glen	Em2glen	Em3glen	9_1_1	9_6	MdEm1	MdEm2	MdEm3	8_6	8_7
TRINITY_DN11293_c0_g1	6.28351006146475	6.67393292403483	6.13445782228509	-1.33613289659484	-2.09391556098091	-3.61549212154843	-3.72673406172657	-3.40291142284943	0.626975013473645	-1.20820884837272	1.93642425858139	-3.31549313053581	-2.95641203723098
TRINITY_DN19609_c2_g2	1.04056584604587	1.24648583296788	1.62917455454887	-0.189979763593902	-1.29290449463601	-0.0536366288857533	-2.15451146161511	-2.3193767059972	0.9502139276856	1.08846529187743	0.891089356975632	-0.864374433642823	0.0287886782695193
TRINITY_DN17605_c1_g1	-0.380743785563785	-0.380743785563785	-0.14808302877351	0.691018883736306	0.91674113014679	1.46564923528858	-0.380743785563785	-0.380743785563785	-0.134639775679869	-0.251131047433316	-0.255092683902265	-0.380743785563785	-0.380743785563785
TRINITY_DN15002_c0_g1	-3.7083872340211	-3.47157624222163	-2.73521220963649	0.848678137796638	0.665418875866685	1.05028500084284	1.27953341966191	1.42365210710689	1.07056241881405	1.18125845776552	0.967638027095286	0.49096265385398	0.937186587075416
TRINITY_DN20664_c1_g1	-0.251458124190709	-0.251458124190709	-0.251458124190709	1.21007043528217	0.30925683028377	0.995253976341152	-0.251458124190709	-0.251458124190709	-0.251458124190709	-0.251458124190709	-0.251458124190709	-0.251458124190709	-0.251458124190709
TRINITY_DN5821_c0_g3	4.30606741206367	4.48086342336294	4.3325452639064	-2.76928337330434	-2.76928337330434	-2.76928337330434	-2.76928337330434	-2.76928337330434	1.32832742332208	-1.62719674368681	1.13018231415016	2.66491114670759	-2.76928337330434
TRINITY_DN18242_c0_g1	2.22222514461372	2.21080536964112	1.695217031756	-0.731171401689644	-1.0612253931905	-1.36647329701489	-0.861188395912101	-0.549796599853905	-0.508105376298523	-0.176460857194233	-0.284816668967426	-0.576952332718225	-0.0120572231713938
TRINITY_DN18869_c0_g1	-0.172520227106358	0.6540599116329	1.24713011382369	0.474990473461226	0.400168375471385	0.343851766812847	-1.25082728835302	-0.672658379904908	0.997133152432904	0.191440084667211	0.948717371926278	-1.17541192056296	-1.9860734343012
TRINITY_DN17000_c1_g1	-3.28403344663936	-2.4569203485274	-1.79306187373382	0.391432692281025	0.707410486846679	0.963942605078652	1.15964836114015	0.780407613018698	1.15656543651465	0.88039889149855	1.0047778276239	0.216177554803253	0.273254200095026
TRINITY_DN21488_c0_g2	-0.894087558224353	-0.544073950112529	-0.425158977627663	1.85175193204654	2.23598793061139	0.990435224355711	-0.944273315392569	-1.37320868838031	-0.987196962615834	-0.759529599238712	-0.953077584297815	0.899550485078744	0.902881063797401
TRINITY_DN14168_c0_g2	-5.13151710841688	-4.01915058534431	-4.82817471392955	1.28261842456758	1.03716503710043	1.16336091346475	2.77140061061672	2.80500305475471	0.323612806766906	0.32446760080912	0.328209576757099	2.13470723377475	1.80829714907867
TRINITY_DN25877_c0_g1	-0.498512517561403	-2.99139116576713	-0.357727468900501	-0.112665824287028	0.877394356788219	1.55327967671443	1.19598070414201	0.451154290338171	1.73129343230348	2.30039654807493	1.83358029968909	-2.99139116576713	-2.99139116576713
TRINITY_DN21671_c14_g9	-1.64376758408109	-1.64376758408109	-1.64376758408109	1.87199532146011	1.17508297681435	1.94695418592875	0.192964496378048	-1.64376758408109	1.65752739692806	1.53223597292783	1.48584515404938	-1.64376758408109	-1.64376758408109
TRINITY_DN18377_c0_g1	-3.34842591823946	-3.54712141213545	-2.31651220827459	0.592146339167738	1.06194569832491	0.780759185980854	1.10204742081905	1.54509540300068	1.78284655087492	1.3744856982636	1.47622423613792	0.241904800461445	-0.745395794381628
TRINITY_DN19690_c0_g1	-3.14330280350795	-3.41233594996319	-3.33099632251125	3.49997858827482	2.88186203653423	3.97170521998236	0.272931456553656	-1.56193655319293	1.47932625803076	1.34873652082546	2.02708772287842	-1.72706854344634	-2.30598763045804
TRINITY_DN21623_c14_g1	-0.889061561597176	-0.601227697054106	-2.90257078489732	1.33979931234751	0.526643148472727	1.48468127080465	-0.417172472022635	-3.75616729109983	3.13480219867464	-0.676874523826978	3.43924921159004	0.270632768243884	-0.952733579635413
TRINITY_DN29901_c0_g1	1.03850464929951	0.468612702080912	0.518079739364472	-0.0755538493111487	-0.244770014183957	0.0842837718775513	-1.02785480155573	-1.33728426488304	1.13479604046549	0.639277664868131	1.13406047193788	-1.68641358949943	-0.64573852046064
TRINITY_DN13495_c0_g1	-1.03928942308069	-1.78775065608473	-0.952635040826508	-1.55508989929445	-0.219718551313447	-0.0103835466343134	0.0286442530843951	1.77308655550104	1.99371397690043	1.10386295095448	2.44529374518086	0.00801629169766627	-1.78775065608473
TRINITY_DN9242_c0_g1	-5.97464495308954	-6.35306308001837	-4.80919407349483	1.6974106218298	1.70445805909156	1.82721338112295	2.93710978864751	2.42425987194742	1.35689511943688	1.33363606892344	1.41543156909364	0.652695457883752	1.7877921686258
TRINITY_DN19555_c0_g1	4.62520255552478	5.21218527094226	4.73181310086886	-2.14067038381109	-1.82167459692688	-2.47270335633484	-2.79693791860538	-1.86714692088678	-0.455521394126654	-0.962631215642468	0.934571196184538	-0.189548418580977	-2.79693791860538
TRINITY_DN18376_c1_g1	0.751437387971766	0.735276260590629	0.842242442229832	-1.07031587848183	-0.970556869065629	-0.629754542337831	0.360310427753839	0.624899772923071	0.581277957517673	0.534890835370345	0.465193694441411	-0.961604445288206	-1.26329704362506
TRINITY_DN18059_c0_g1	-0.223956647265458	0.393956812839762	0.28769996989305	-0.563827481636982	-0.159640349319835	-0.573173335644789	-1.27524153776034	-0.855534816201091	1.27867112639997	1.18246223320239	1.19777299710953	0.0641934017072661	-0.753382373323467
TRINITY_DN2328_c0_g1	-1.73199384147288	-3.24362484562529	-1.67606842687488	0.351050011915364	0.310524859858712	1.05224209264631	0.900995831195312	0.489395619985932	3.43749854491207	2.55848319494056	2.9066682556017	-4.44964284964619	-0.905528447436716
TRINITY_DN11188_c0_g2	-0.670893497041984	-0.670893497041984	-0.670893497041984	2.0170629970025	3.31697305194524	1.37489892147211	-0.670893497041984	-0.670893497041984	-0.670893497041984	-0.670893497041984	-0.670893497041984	-0.670893497041984	-0.670893497041984
TRINITY_DN10997_c1_g3	-1.91753089623877	-1.49942709391215	-1.84762888300862	0.125312104766961	0.0819574190454913	0.387518565073934	0.780545684533837	0.63605618970536	0.21274573249806	0.334805736709568	0.235469460720399	1.77738880134665	0.692787178759276
TRINITY_DN16193_c0_g1	3.35045418098765	5.95695578933313	5.44889556119617	-2.3779833734552	-2.27767846765951	-2.3779833734552	-2.3779833734552	-2.3779833734552	-0.965472802205392	-0.866515334179331	0.225375918427776	1.01790202137549	-2.3779833734552
TRINITY_DN12754_c0_g1	1.77207977428598	1.00976570253608	2.00447556288088	-0.332101239404609	-0.585416640502951	-0.748095115941472	-0.925694045269206	-0.925694045269206	-0.540539148384862	-0.260301274227314	-0.107661570611111	0.564876085176996	-0.925694045269206
TRINITY_DN13398_c0_g1	-2.72035308515014	-3.97434235138092	-3.49097799066757	6.01682373722458	5.0130893731251	3.83953501629966	-3.97434235138092	-2.28997242236792	-3.26593436789733	-3.27745826052547	-2.92471158365632	4.68820497863584	6.36043930774141
TRINITY_DN20836_c1_g2	-3.04837059653872	-3.04837059653872	-3.04837059653872	1.31669198866239	1.58604842285303	1.1025139747663	1.12715400455115	1.14421812502792	0.190874673805063	-0.0199782560390762	0.131140453732789	0.944035302492929	1.62241309976366
TRINITY_DN19367_c2_g1	2.88908701280844	2.53594137875332	2.58577459608843	1.30465818003462	1.26548548483923	0.606699058489091	-2.72608041815023	-2.60773102171896	0.416172164807525	-0.289644730788017	0.667202851135836	-2.48745646348545	-4.16010809281383
TRINITY_DN20127_c0_g1	-1.85985383490706	-1.23677383415553	-1.55693640201155	0.805442660438637	1.11388030035912	0.6792808823789	0.0715183173392724	0.185558428167467	-0.116118010752414	0.0148626125515507	-0.0763830003995505	1.32707814757167	0.648443733419493
TRINITY_DN19066_c3_g9	2.08224943518325	0.996067860064743	0.926977102511367	1.97788392973569	1.10393038104055	1.48308629609839	-4.71583997270777	-4.71583997270777	2.04296953009595	2.23810035294673	2.27798154911035	-4.71583997270777	-0.981726518663702
TRINITY_DN13547_c7_g1	-2.12564682611418	-1.20195724257376	-1.99798009769033	0.400586688355391	1.10327114794964	1.15362534783669	0.508213017383474	-0.0954211383525072	0.174271085880449	0.205353987830431	0.200852253010191	1.49223962853302	0.182592147951489
TRINITY_DN15946_c0_g1	-0.816045974237832	-0.816045974237832	-0.816045974237832	0.782795603895454	-0.457649712281178	0.121298417912401	1.26461168910739	1.0093326296551	0.39309542360076	0.163613577477993	0.803132241821237	-0.816045974237832	-0.816045974237832
TRINITY_DN11756_c1_g1	3.12853866528554	3.58972763057001	2.8425974578803	-1.33108967108143	-1.33108967108143	-1.33108967108143	-1.33108967108143	-1.33108967108143	0.893876693918841	-1.33108967108143	0.193976920996778	-1.33108967108143	-1.33108967108143
TRINITY_DN19506_c0_g1	-1.42449154971189	-1.72655544170166	-1.87806365040973	0.357046466053393	0.446124615375056	0.173658852913904	0.419197515359592	0.790433986774826	0.0114280165447878	0.040139313186315	-0.0954578365616916	1.87501630768287	1.01152340449423
